"","Country","Year","Nuts2","not_stated","sometimes","total","never","usually","somet_usual"
"173","NL",2022,"NL33",742.553,2004.359,922.456,NA,339.35,2343.709
"174","NL",2022,"NL41",533.956,1433.114,695.347,NA,203.81,1636.924
"175","NL",2022,"NL31",331.516,779.587,292.644,NA,155.426,935.013
"176","NL",2022,"NL21",235.389,650.938,339.134,NA,76.416,727.354
"177","NL",2022,"NL32",634.273,1635.117,675.358,NA,325.485,1960.602
"178","NL",2022,"NL13",90.673,254.249,128.213,NA,35.363,289.612
"179","NL",2022,"NL12",119.605,342.341,177.341,NA,45.395,387.736
"180","NL",2022,"NL34",68.064,200.759,108.601,NA,24.094,224.853
"181","NL",2022,"NL42",188.741,574.148,309.095,NA,76.311,650.459
"182","AT",2022,"AT31",109.451,776.848,594.889,NA,72.508,849.356
"183","AT",2022,"AT21",31.874,264.825,208.723,NA,24.227,289.052
"184","AT",2022,"AT34",30.605,206.403,158.204,NA,17.594,223.997
"185","AT",2022,"AT33",49.407,398.21,307.165,NA,41.639,439.849
"186","AT",2022,"AT32",41.042,291.901,217.217,NA,33.642,325.543
"187","AT",2022,"AT11",20.678,140.792,103.183,NA,16.931,157.723
"188","AT",2022,"AT13",159.436,913.635,567.703,NA,186.496,1100.131
"189","AT",2022,"AT12",125.175,831.397,589.761,NA,116.461,947.858
"190","AT",2022,"AT22",82.548,618.576,465.821,NA,70.207,688.783
"191","PL",2022,"PL63",109,1105.982,912.549,NA,84.432,1190.414
"192","PL",2022,"PL51",121.977,1345.271,1130.904,NA,92.39,1437.661
"193","PL",2022,"PL42",43.662,739.917,670.518,NA,25.737,765.654
"194","PL",2022,"PL62",21.877,581.681,530.988,NA,28.817,610.498
"195","PL",2022,"PL82",35.328,813.278,744.16,NA,33.791,847.069
"196","PL",2022,"PL81",61.77,885.866,787.979,NA,36.118,921.984
"197","PL",2022,"PL22",144.313,1946.947,1718.303,NA,84.331,2031.278
"198","PL",2022,"PL61",82.057,905.641,776.89,NA,46.694,952.335
"199","PL",2022,"PL92",56.16,1025.076,930.955,NA,37.962,1063.038
"200","PL",2022,"PL52",14.389,422.59,402.768,NA,NA,NA
"201","PL",2022,"PL43",15.436,443.762,421.881,NA,NA,NA
"202","PL",2022,"PL41",142.099,1667.459,1433.963,NA,91.396,1758.855
"203","PL",2022,"PL72",11.719,513.32,489.199,NA,12.402,525.722
"204","PL",2022,"PL71",71.27,1120.998,978.418,NA,71.309,1192.307
"205","PL",2022,"PL84",47.251,514.874,460.296,NA,NA,NA
"206","PL",2022,"PL91",270.988,1715.602,1294.975,NA,149.638,1865.24
"207","PL",2022,"PL21",111.993,1502.624,1334.346,NA,56.285,1558.909
"208","PT",2022,"PT30",11.685,118.413,103.438,NA,NA,NA
"209","PT",2022,"PT18",27.14,324.682,279.464,NA,18.078,342.76
"210","PT",2022,"PT16",106.455,1057.651,892.548,NA,58.648,1116.299
"211","PT",2022,"PT17",204.415,1399.92,968.019,NA,227.485,1627.405
"212","PT",2022,"PT11",147.347,1699.489,1472.827,NA,79.315,1778.804
"213","PT",2022,"PT20",5.217,110.89,102.976,NA,NA,NA
"214","PT",2022,"PT15",21.591,228.896,197.088,NA,10.217,239.113
"215","RO",2022,"RO11",25.173,1105.728,1065.632,NA,14.923,1120.651
"216","RO",2022,"RO21",18.875,1270.723,1237.729,NA,14.118,1284.841
"217","RO",2022,"RO12",23.334,909.502,875.287,NA,10.881,920.383
"218","RO",2022,"RO32",97.623,1178.525,1044.807,NA,36.096,1214.621
"219","RO",2022,"RO22",15.76,862.297,840.103,NA,NA,NA
"220","RO",2022,"RO42",19.673,693.516,664.541,NA,9.302,702.818
"221","RO",2022,"RO41",9.624,694.476,677.772,NA,7.081,701.557
"222","RO",2022,"RO31",15.069,1091.681,1064.931,NA,11.682,1103.363
"223","SI",2022,"SI03",57.155,505.265,412.739,NA,35.371,540.636
"224","SI",2022,"SI04",77.407,480.869,353.094,NA,50.368,531.237
"225","SK",2022,"SK01",47.674,382.33,294.498,NA,40.132,422.462
"226","SK",2022,"SK04",60.558,695.009,616.434,NA,18.017,713.026
"227","SK",2022,"SK02",53.199,897.142,796.74,NA,47.204,944.346
"228","SK",2022,"SK03",46.498,629.444,551.346,NA,31.483,660.927
"229","FI",2022,"FI19",107.907,651.425,412.754,4.911,125.854,777.279
"230","FI",2022,"FI1B",163.298,883.498,410.624,12.648,296.928,1180.426
"231","FI",2022,"FI20",2.732,15.384,10.472,NA,2.18,17.564
"232","FI",2022,"FI1D",85.083,571.734,383.532,6.149,96.97,668.704
"233","FI",2022,"FI1C",82.065,518.152,334.55,5.407,96.13,614.282
"234","SE",2022,"SE32",42.241,184.934,109.293,4.612,28.914,213.848
"235","SE",2022,"SE23",291.929,1077.824,588.858,31.123,165.998,1243.822
"236","SE",2022,"SE11",366.145,1323.788,543.368,32.644,381.55,1705.338
"237","SE",2022,"SE33",57.77,255.441,159.422,6.777,31.615,287.056
"238","SE",2022,"SE12",203.421,822.959,470.399,17.661,131.478,954.437
"239","SE",2022,"SE31",89.727,404.057,253.07,11.805,49.627,453.684
"240","SE",2022,"SE21",101.138,435.156,275.548,8.709,49.921,485.077
"241","SE",2022,"SE22",192.665,752.706,416.514,19.495,123.951,876.657
"242","BE",2021,"BE34",16.969,122.273,77.876,5.534,21.894,144.167
"243","BE",2021,"BE24",67.682,497.079,236.191,25.157,168.05,665.129
"244","BE",2021,"BE35",34.284,203.828,113.117,10.057,46.371,250.199
"245","BE",2021,"BE32",52.728,481.536,311.972,28.479,88.356,569.892
"246","BE",2021,"BE21",123.065,836.378,461.382,49.106,202.827,1039.205
"247","BE",2021,"BE10",58.377,474.615,236.105,22.871,157.261,631.876
"248","BE",2021,"BE33",48.784,425.911,267.388,29.258,80.48,506.391
"249","BE",2021,"BE23",82.477,717.181,381.374,44.265,209.064,926.245
"250","BE",2021,"BE22",40.903,389.78,250.009,19.258,79.61,469.39
"251","BE",2021,"BE25",77.305,534.534,336.303,28.774,92.152,626.686
"252","BE",2021,"BE31",23.923,170.595,75.18,9.258,62.234,232.829
"253","BG",2021,"BG41",62.385,994.189,893.161,NA,38.278,1032.467
"254","BG",2021,"BG42",12.801,564.404,534.555,NA,17.049,581.453
"255","BG",2021,"BG34",8.542,402.626,386.221,NA,7.863,410.489
"256","BG",2021,"BG32",7.978,294.197,279.968,NA,6.252,300.449
"257","BG",2021,"BG31",8.787,253.361,241.027,NA,NA,NA
"258","BG",2021,"BG33",7.048,368.428,353.671,NA,7.709,376.137
"259","CZ",2021,"CZ02",58.003,690.76,579.899,NA,52.857,743.617
"260","CZ",2021,"CZ06",60.262,824.498,711.12,NA,53.116,877.614
"261","CZ",2021,"CZ07",30.912,572.99,502.327,NA,39.751,612.741
"262","CZ",2021,"CZ01",114.12,710.853,503.25,NA,93.483,804.336
"263","CZ",2021,"CZ03",24.01,608.635,548.857,NA,35.767,644.402
"264","CZ",2021,"CZ04",22.55,521.263,476.544,NA,22.169,543.432
"265","CZ",2021,"CZ08",28.673,557.704,498.886,NA,30.145,587.849
"266","CZ",2021,"CZ05",42.107,726.668,629.997,NA,54.564,781.232
"267","DK",2021,"DK03",88.356,596.011,424.63,NA,83.025,679.036
"268","DK",2021,"DK05",39.57,284.017,205.574,NA,38.873,322.89
"269","DK",2021,"DK04",117.621,662.396,438.131,NA,106.644,769.04
"270","DK",2021,"DK02",63.903,398.187,268.526,NA,65.758,463.945
"271","DK",2021,"DK01",207.156,966.902,518.968,NA,240.777,1207.679
"272","DE",2021,"DE40",74.657,1224.541,990.938,NA,158.946,1383.487
"273","DE",2021,"DE26",50.575,703.783,546.882,NA,106.326,810.109
"274","DE",2021,"DE27",75.758,1023.238,803.975,NA,141.931,1165.169
"275","DE",2021,"DE11",190.12,2183.095,1565.851,NA,425.462,2608.557
"276","DE",2021,"DE60",106.27,965.381,577.713,NA,278.59,1243.971
"277","DE",2021,"DE50",NA,314.503,231.438,NA,55.907,370.41
"278","DE",2021,"DE12",107.929,1459.868,1062.316,NA,289.092,1748.96
"279","DE",2021,"DE93",57.942,869.061,672.618,NA,137.988,1007.049
"280","DE",2021,"DE22",55.518,685.056,561.496,NA,68.041,753.097
"281","DE",2021,"DEA2",171.661,2166.168,1510.829,NA,483.679,2649.847
"282","DE",2021,"DE21",248.021,2533.124,1684.319,NA,598.969,3132.093
"283","DE",2021,"DE14",82.233,987.659,750.14,NA,154.624,1142.283
"284","DE",2021,"DED4",40.985,663.17,574.595,NA,47.312,710.482
"285","DE",2021,"DE91",58.55,749.114,554.36,NA,136.203,885.317
