"","YEAR","COREG_2DW","Never_all","Never_incountry","Total_all","Never_cross"
"303",2010,"UKH1",831.008,831.008,1145.642,0
"304",2010,"UKH2",543.695,543.695,755.387,0
"305",2010,"UKH3",538.115,538.115,678.443,0
"306",2010,"UKI3",1125.547,1125.547,1573.352,0
"307",2010,"UKI4",717.964,717.964,1010.208,0
"308",2010,"UKI5",351.322,351.322,458.325,0
"309",2010,"UKI6",239.811,239.811,367.484,0
"310",2010,"UKI7",575.588,575.588,794.354,0
"311",2010,"UKJ1",788.262,788.262,1159.545,0
"312",2010,"UKJ2",840.6,840.6,1250.927,0
"313",2010,"UKJ3",642.67,642.67,891.588,0
"314",2010,"UKJ4",521.561,521.561,689.573,0
"315",2010,"UKK1",842.818,842.818,1156.091,0
"316",2010,"UKK2",432.657,432.657,586.137,0
"317",2010,"UKK3",173.477,173.477,240.829,0
"318",2010,"UKK4",367.709,367.709,519.746,0
"319",2010,"UKL1",593.083,593.083,749.165,0
"320",2010,"UKL2",444.332,444.332,576.818,0
"321",2010,"UKM2",799.783,799.783,956.454,0
"322",2010,"UKM3",833.001,833.001,1004.89,0
"323",2010,"UKM5",220.766,220.766,270.279,0
"324",2010,"UKM6",172.467,172.467,230.868,0
"325",2010,"UKN0",619.829,619.829,763.874,0
"326",2011,"AT11",77.528,77.528,98.628,0
"327",2011,"AT12",513.423,507.634,670.513,5.78899999999999
"328",2011,"AT13",714.13,707.292,926.558,6.83799999999997
"329",2011,"AT21",194.851,194.212,249.08,0.63900000000001
"330",2011,"AT22",438.87,438.87,563.982,0
"331",2011,"AT31",549.414,544.52,704.718,4.89400000000001
"332",2011,"AT32",220.976,220.976,280.37,0
"333",2011,"AT33",276.204,276.204,352.39,0
"334",2011,"AT34",135.625,135.625,169.235,0
"335",2011,"BE00",9.949,0,9.949,9.949
"336",2011,"BE10",519.461,519.461,678.938,0
"337",2011,"BE21",570.077,570.077,704.57,0
"338",2011,"BE22",249.933,249.933,308.022,0
"339",2011,"BE23",442.108,442.108,547.652,0
"340",2011,"BE24",314.18,314.18,414.834,0
"341",2011,"BE25",377.956,377.956,470.779,0
"342",2011,"BE31",99.48,99.48,139.212,0
"343",2011,"BE32",309.434,309.434,374.38,0
"344",2011,"BE33",282.647,282.647,354.474,0
"345",2011,"BE34",62.135,62.135,80.159,0
"346",2011,"BE35",122.126,122.126,154.452,0
"347",2011,"BG31",283.628,283.628,283.628,0
"348",2011,"BG32",309.836,309.836,309.836,0
"349",2011,"BG33",367.356,367.356,367.356,0
"350",2011,"BG34",420.614,420.614,420.614,0
"351",2011,"BG41",965.185,965.185,982.354,0
"352",2011,"BG42",541.428,541.428,541.428,0
"353",2011,"CH00",354.697,79.453,382.21,275.244
"354",2011,"CH01",535.609,535.609,716.286,0
"355",2011,"CH02",650.096,650.096,910.897,0
"356",2011,"CH03",373.609,373.609,537.899,0
"357",2011,"CH04",582.732,582.732,861.993,0
"358",2011,"CH05",416.205,416.205,569.096,0
